location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
676,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,1.0,1.0,0.75,0.5,0.75,0.75,0.5,0.5,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.0
706,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.8,0.8,1.0,0.4,0.4,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
773,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.25,0.75,0.75,1.0,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.5555555555555556,1.0,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0
899,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.75,1.0,1.0,0.75,0.75,0.5,0.75,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
933,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.0
935,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,1.0,1.0,0.75,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
993,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.75,0.5,1.0,1.0,0.75,1.0,1.0,0.5,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.0
1157,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.46153846153846156,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.5384615384615384,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.0
1287,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,1.0,0.75,0.75,0.5,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6165,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.5,1.0,1.0,0.75,1.0,1.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
39288,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.5,0.75,1.0,0.75,0.5,0.75,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
41556,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,1.0,0.6,0.8,0.6,0.6,0.6,0.6,0.6
41611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,1.0,0.75,0.5,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43433,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.8333333333333334,1.0,1.0,0.75,0.9166666666666666,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0
43511,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.0,1.0,1.0,1.0,0.4,0.4,1.0,1.0,0.6,0.6,0.4,0.2,0.2,0.2,0.2,0.0
43593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.75,1.0,0.5,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43697,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.75,0.75,0.75,0.75,1.0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
43720,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
