location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
13633,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.6,0.2,0.6,0.4,0.2,0.6,1.0,1.0,1.0,1.0,0.8,0.6,0.8,0.8,0.8,0.8
13640,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0
13641,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.625,0.5,0.625,0.625,0.5,0.5,0.625,0.625,0.75,0.75,0.875,0.875,0.75,0.875,1.0,1.0,1.0
13660,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.8,0.8,0.8,0.4,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
13662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.5,0.5,1.0,0.75,0.5,0.75,0.25,0.75,0.75,0.75,0.75,0.75
13703,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.25,0.4166666666666667,0.5,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13729,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.75,1.0,1.0,0.75,1.0,0.75,1.0,1.0
13731,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.8,0.6,1.0,0.8,0.8,1.0,1.0,0.8,0.6,1.0,0.8,0.8,0.8
13753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.6,0.6,0.6,0.4,0.8,0.8,0.6,0.6,1.0,0.8,0.6,0.6,0.6,0.6
13766,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0
13806,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0.5,1.0,0.75,1.0,0.25,0.0,0.25,0.75,0.75,0.75
13826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
13851,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.75,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75
13904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.8
13925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.75
13938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.5,0.25,0.75,0.5,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0
13948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.75,0.5,0.75,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0
13953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.6,0.8,0.6,0.6,0.8,0.8,0.8,1.0,1.0
14022,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.8333333333333334,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334
14056,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.7142857142857143,1.0,1.0,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
14081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.75,0.75,0.75,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14084,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.5,0.3,0.5,0.4,0.4,0.4,0.5,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7
14119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0
14163,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.75,0.875,0.75,0.875,0.875,0.75,0.375,0.5,0.5,0.625,0.75,0.875,0.875,0.875
14266,1.0,1.0,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1.0,1.0,0.25,0.25,0.25,0.5,0.75,0.75,1.0,1.0,1.0
14281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.0,0.25,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75
14304,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.25,0.25,0.0,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.5,0.5,1.0,0.75,1.0,1.0
14334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1.0,1.0,0.75,1.0,0.75,0.75,0.75,1.0,1.0,1.0
14403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.6,0.6,0.6,0.8,0.8,1.0,1.0,0.8,0.6,0.8,1.0,1.0,1.0,1.0
14537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14540,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,1.0,1.0,0.75,1.0,0.75,0.5,0.75,0.75,1.0,1.0,1.0,1.0
14651,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,1.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0
14701,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.75,0.75,0.75,0.75,1.0,0.75,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0
14744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.6,0.6,0.4,0.6,0.4,0.2,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0
14786,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.2,0.0,0.2,0.0,0.0,0.2,0.6,0.8,0.6,0.6,0.8,1.0,1.0,1.0,1.0,1.0
14831,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14836,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.5,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
14855,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.25,0.75,0.75,0.75,1.0
14899,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.5,0.5,0.16666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.8333333333333334,1.0,1.0
14994,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.2,1.0,1.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0
15028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,0.8,0.8,0.6,1.0,0.6,0.8,1.0,1.0,0.8,0.8,0.8,1.0,1.0,1.0
15031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.4,0.6,0.4,0.4,0.6,0.6,0.4,0.6,0.8,0.8,0.8,0.8,0.8,0.6
15049,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.7142857142857143,1.0,1.0,1.0
15055,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.75,0.75,0.75,1.0,1.0,0.75,1.0,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0
15063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.6,0.8,0.8,0.6,0.6,0.6,0.8,1.0,1.0
15069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.8,1.0,0.8,0.6,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.8
15075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15173,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334
15264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
15348,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8888888888888888,1.0,1.0,1.0
15363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.6,1.0,0.8,0.4,0.6,1.0,1.0,1.0,1.0
15369,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.4,0.6,0.4,0.6,0.4,0.8,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8
41901,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1.0,0.5,0.5,0.5,0.5
41906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
