location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
13633,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0
13640,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0
13641,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,6.0,7.0,8.0,8.0,8.0
13660,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
13662,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0
13703,12.0,12.0,12.0,12.0,12.0,12.0,9.0,8.0,5.0,4.0,3.0,5.0,6.0,7.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
13729,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0
13731,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0
13753,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0
13766,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
13806,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,0.0,1.0,3.0,3.0,3.0
13826,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,5.0,6.0,6.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0
13851,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
13904,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0
13925,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0
13938,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
13948,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0
13953,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
13956,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0
14022,6.0,6.0,6.0,6.0,6.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0
14056,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,7.0,7.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
14081,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
14084,10.0,10.0,10.0,10.0,10.0,9.0,9.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0
14119,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
14163,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,3.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0
14266,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0
14281,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
14304,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0
14334,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
14403,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
14405,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0
14537,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
14540,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0
14651,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
14701,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
14744,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
14786,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0
14831,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
14836,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
14855,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0
14899,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,6.0,6.0
14994,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
15028,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
15031,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
15049,7.0,7.0,7.0,6.0,6.0,6.0,6.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,3.0,5.0,7.0,7.0,7.0
15055,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
15063,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
15065,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0
15069,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0
15075,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
15173,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0
15264,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0
15348,8.0,8.0,8.0,8.0,8.0,8.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,7.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0
15363,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0
15369,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
41901,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0
41906,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
